屌丝	Loser
洛阳龙门石窟	Longmen Grottoes in Luoyang
洞中肯綮	Have a keen insight into matters
洞天福地	Scenery of exceptional charm
洞如观火	Have a keen insight into matters
洞察一切	Have a keen insight into matters
洞察其奸	See through sb.'s treachery
洞察秋毫	Have a keen insight into matters
洞彻事理	Thoroughly understand the rules of things
洞烛其奸	See through sb.'s treachery
洞穴依然存活	Portal: Still Alive
洞若观火	Have a keen insight into matters
洞见症结	Have a keen insight into matters
津巴布韦首都	Capital of Zimbabwe
津津乐道	Indulge in elaborating on
津津有味	Eat with appetite
洪水泛滥	Flooding of rivers
洪水流量	Flood discharge
洪水猛兽	Great scourges
洪涝灾害	Flood disaster
洪湖公园	Honghu Park
洪炉点雪	No trace
洪都拉斯首都	Capital of Honduras
洲际火箭	Ocean-spanning rocket
活佛济公	The Legend of Crazy Monk
活剥生吞	Swallow sth. raw and whole
活动分子	Activist
活动屏风	Movable screen
活动帐篷	Movable tent
活动扳手	Adjustable wrench
活动护栏	Movable guardrail
活动板房	Prefabricated house
活动舞台	Movable stage
活动资本	Liquid capital
活化你的头脑DS汉字之章	Shikakui Atama wo Maruku Suru: DS Kanji no Shou
活化你的头脑DS计算之章	Shikakui Atama wo Maruku Suru: DS Keisan no Shou
活化你的头脑	Shikakui Atama wo Maruku Suru
活命哲学	The philosophy of survival
活在这珍贵的人间太阳强烈水波温柔	Living in this precious world, you can feel both the heat of the sun and the gentle of water
活塞式空压机	Piston type air compressor
活字印刷	Movable-type printing
活形活现	Look realistic
活期储蓄	Current deposit
活灵活现	Look realistic
活版印刷机	Letterpress machine
活眼活现	Look realistic
活神活现	Look realistic
活禽交易市场	Live bird market
活组织检查	Biopsy
活节螺栓	Live bolt
活虾炒饭	Stir-Fried Rice with Fresh Shrimps
活蹦乱跳	Alive and kicking
活蹦活跳	Alive and kicking
活页笔记本	Looseleaf notebook
活龙活现	Look realistic
洽闻强记	Have wide learning and a retentive memory
派宁蒸汽清洁机	Piuneer steam cleaning machine
派拉蒂香槟	Veuve Pelletier Brut
流亡政府	Government-in-exile
流光易逝	Time flies
流光魅音	Auditorium
流动加油车	Mobile fuel trucks
流动图书馆	Mobile library
流动资本	Floating capital
流动资金	Floating capital
流年不利	An unlucky year
流年似水	Time went by
流星洛克人2狂战士×忍者	Ryuusei no RockMan 2: Berserk x Shinobi
流星洛克人2狂战士×恐龙	Ryuusei no RockMan 2: Berserk x Dinosaur
流星洛克人3红色领主	Ryuusei no RockMan 3 Red Joker
流星洛克人3黑色王牌	Ryuusei no RockMan 3 Black Ace
流星洛克人天马	Ryuusei no RockMan: Pegasus
流星洛克人雄狮	Ryuusei no RockMan: Leo
流星洛克人青龙	Ryuusei no RockMan: Dragon
流星蝴蝶剑Online	Butterfly Sword Online
流星赶月	Swift action
流星铠甲	Vay
流氓软件清理助手	Rogue software clean-up assistant
流水无情	Time has passed and no intention of stopping
流水桃花	It's a metaphor for love
流水落花	Like fallen flowers carried away by the flowing water
流水行云	In a flow state
流水高山	Appreciative audience like flowing water and high mountains -- bosom friends
流浪灵魂之玩偶屋的故事	Stray Souls: Dollhouse Story
流离失所	Become destitute and homeless
流离转徙	Move from place to place
流离颠沛	Homeless and wandering from place to place
流离颠疐	Homeless and wandering from place to place
流离颠顿	Homeless and wandering from place to place
流移失所	Become destitute and homeless
流芳千古	Leave a good name throughout the ages
流芳后世	Leave a good name for a hundred generations
流芳百世	Have a niche in the temple of fame
流落他乡	Become homeless in other countries
流落失所	Become destitute and homeless
流落江湖	Become destitute in other countries
流落风尘	Become destitute in other countries
流血千里	Blood flowing like stream
流行之神2DS都市传说怪异事件	Hayarigami 2 DS Toshidensetsu Kaii Jiken
流行之神2携带版警视厅怪异事件档案	Hayarigami 2 Portable - Keishichou Kaijiken File
流行之神3警视厅怪异事件档案	Hayarigami 3
流行之神	Hayarigami DS
流行之神警视厅怪异事件档案	Hayarikami
流行前沿	Popular front
流行发型	Popular hairstyle
流行外套	Fashionable coat
流行妆容	Popular makeup
流行感冒	Flu
流行手表	Fashion watches
流行文化	Pop culture
流行时尚	Fashion
流行服饰	Fashion clothing
流行歌曲	Popular song
流行病学家	Epidemiologist
流行病学研究室	Epidemiological Research Office
流行耳环	Fashionable earring
流行钢管舞	Popular Pole-dancing
流行音乐12	Pop'N Music 12 IROHA
流行音乐携带版	Pop'n Music Portable
流行音乐方块DS	Luminator DS
流言常和谎话并行	Gossiping and lying go together
流言蜚语	tattle and prate
流言风语	Rumors and slanders
流言飞文	Rumors and slanders
流言飞语	Rumors and slanders
流连忘反	Indulge in pleasures without stop
流连忘返	Indulge in pleasures without stop
流通纪念币	Commemorative coins in circulation
流量仪表	Flow meter
流量开关	Flow switch
流金铄石	Extremely hot
流风余韵	Lasting influence
流风回雪	Like a general wind flow back to snow
浅尝辄止	Put away the cup after taking a tiny sip
浅斟低唱	Sip wine slowly and hum a tune
浅水炮舰	Monitor
浆果烩鸭胸	Braised Duck Breast with Cherry
浊者自浊	The fool thinks he knows all
浊骨凡胎	Ordinary people
测绘卫星	Cartographic satellite
测距望远镜	Ranging telescope
测量仪器	Measuring instrument
测量投影仪	Measuring projector
测量显微镜	Measuring microscope
济世之才	A person endowed with the talent to govern and to serve
济世安人	serve the people and the society
济世安民	serve the people and the society
济世安邦	serve the people and the society
济世救人	serve the people and the society
济人利物	Benefit other people as well as oneself
济南大明湖	Daming Lake in Ji Nan
济困扶危	Help the one in need
济宁青山羊	Jining Grey Goat
济弱扶倾	To help the weak and aid the needy
济河焚舟	To show one's determination to fight to the last
济济一堂	A gathering of many people
济贫拔苦	Relieve the poor and comfort the afflicted
浏阳黑山羊	Liuyang Black Goat
浑俗和光	Be in harmony with the rest of the world
浑水摸鱼	Acquire profit in time of trouble
浑浑噩噩	Muddle along without any aim
浑然一体	All blend into one harmonious whole
浑然天成	Like nature itself -- highest quality
浑然无知	Completely ignore
浑然自成	Like nature itself -- highest quality
浑身是胆	Full of courage
浑身解数	Use all one's skill
浑金璞玉	Unrefined gold and unpolished jade -- an unadorned beauty
浑金白玉	Unrefined gold and unpolished jade -- an unadorned beauty
浓墨重彩	Thick and heavy in colours
浓妆淡抹	Richly adorned or plainly dressed
浓妆艳抹	Make up one's face heavily and dress gaudily
浓妆艳服	Make up one's face heavily and dress gaudily
浓妆艳裹	Make up one's face heavily and dress gaudily
浓妆艳饰	Make up one's face heavily and dress gaudily
浓汁三鲜	Three Delicacies Soup
浓汁三鲜鱼翅	Three Delicacies and Shark's Fin Soup
浓汁四宝鱼翅	Four Delicacies and Shark's Fin Soup
浓汁木瓜鱼肚	Fish Maw and Diced Papaya Soup
浓汁鱼唇	Fish Snout Soup
浓汁鱼肚	Braised Fish Maw with Chicken Broth
浓汁鲍丝翅	Braised Shark's Fin and Shredded Abalone
浓汤四宝	Seafood Soup
浓汤娃娃菜	Braised Baby Cabbage in Broth
浓汤沙锅三鲜	Sea Cucumber, Shrimps and Ham Soup
浓汤裙边	Turtle Rim in Thick Soup
浓汤金华四宝蔬	Braised Four Kinds of Vegetables in Broth
浓汤鱼唇	Braised Fish Snout in Thick Soup
浓汤鱼片汤	Fish Fillet Soup
浓汤鱼肚烩散翅	Fish Maw with Shark's Fin Soup
浓汤鱼肚羮	Fish Maw Soup
浓汤鸡火翅	Shark's Fin in Chicken Soup
浓汤鸡煲翅	Braised Shark's Fin in Chicken Broth
浓缩冰咖啡	Iced Espresso
浓缩咖啡康保蓝	Espresso Con Panna
浓缩咖啡玛奇朵	Espresso Macchiato
浓缩少白细胞红细胞	Red Blood Cells Concentrate Leukocyte Reduced
浓缩番茄	Tomato concentrate
浓缩白细胞	White Blood Cells Concentrate
浓缩红细胞	Red Blood Cells Concentrate
浓缩血小板	Platelet Concentrate
浓缩鲜香粉	Concentrated fresh powder
浓荫蔽日	The trees are luxuriant
浓装艳抹	Make up one's face heavily and dress gaudily
浓香郎酒	Aromatic Ichiro liquor
浙东大峡谷	Zhedong Grand Canyon
浙江天目山	Zhejiang Tianmu Mountain
浙江水乡	Zhejiang Water Village
浙江浴室柜	Zhejiang bathroom cabinet
浙江省乡镇企业局	Rural and Township Enterprises Bureau of Zhejiang Province
浙江省交通厅	Transport Department of Zhejiang Province
浙江省人事厅	Department of Personnel of Zhejiang Province
浙江省人民政府侨务办公室	Overseas Chinese Affairs Office of Zhejiang Provincial People's Government
浙江省人民政府办公室	General Office of the People's Government of Zhejiang Province
浙江省人民政府外事办公室	Foreign Affairs Office of Zhejiang Provincial People's Government
浙江省人民政府法制办公室	Legislative Affairs Office of Zhejiang Province
浙江省人民防空办公室	Air Defence Office of Zhejiang Province
浙江省体育局	Sport Bureau of Zhejiang Province
浙江省供销合作社	Supply and Purchase Cooperation of Zhejiang Province
浙江省信息产业厅	Department of Information Industry of Zhejiang Province
浙江省公安厅	Public Security Department of Zhejiang Province
浙江省农业厅	Department of Agriculture of Zhejiang Province
浙江省劳动和社会保障厅	Department of Labor and Social Security of Zhejiang Province
浙江省卫生厅	Department of Health of Zhejiang Province
浙江省发展计划委员会	Development and Planning Commission of Zhejiang Province
浙江省司法厅	Department of Justice of Zhejiang Province
浙江省国土资源厅	Department of Land and Resources of Zhejiang Province
浙江省国家安全厅	Department of State Security of Zhejiang Province
浙江省国税局	Bureau of State Taxation of Zhejiang Province
浙江省地震局	Seismological Bureau of Zhejiang Province
浙江省审计厅	Department of Audit of Zhejiang Province
浙江省对外贸易经济合作厅	Department of Foreign Trade and Economic Cooperation of Zhejiang Province
浙江省工商行政管理局	Industry and Commerce Administration of Zhejiang Province
浙江省广播电视局	Radio, Film and Television Bureau of Zhejiang Province
浙江省建设厅	Department of Construction of Zhejiang Province
浙江省政府台湾事务办公室	Taiwan Affairs Office of Zhejiang Provincial People's Government
浙江省教育厅	Department of Education of Zhejiang Province
浙江省文化厅	Department of Culture of Zhejiang Province
浙江省文物局	Cultural Heritage Bureau of Zhejiang Province
浙江省新闻出版局	Press and Publication Bureau of Zhejiang Province
浙江省旅游局	Tourism Bureau of Zhejiang Province
浙江省林业局	Department of Forestry of Zhejiang Province
浙江省档案局	Archives Bureau of Zhejiang Province
浙江省武警总队	Headquarters of Armed Police Force of Zhejiang Province
浙江省民政厅	Department of Civil Affairs of Zhejiang Province
浙江省民族宗教事务委员	Ethnic and Religious Affairs Commission of Zhejiang Province
浙江省气象局	Meteorological Bureau of Zhejiang Province
浙江省水利厅	Department of Water Resources of Zhejiang Province
浙江省测绘局	Surveying and Mapping Bureau of Zhejiang Province
浙江省海事局	Marine Affairs Bureau of Zhejiang Province
浙江省海洋渔业局	Oceanic and Fishery Department of Zhejiang Province
浙江省烟草局	Tabacco Monopoly Bureau of Zhejiang Province
浙江省物价局	Price Bureau of Zhejiang Province
浙江省环境保护局	Bureau of Local Taxation of Zhejiang Province
浙江省电力局	Electric Power Bureau of Zhejiang Province
浙江省省直机关事务管理局	Government Office Administration of Zhejiang Provincial People's Government
浙江省社会科学院	Social Science Academy of Zhejiang Province
浙江省科学技术厅	Department of Science and Technology of Zhejiang Province
浙江省粮食局	Grain Bureau of Zhejiang Province
浙江省经济体制改革办公室	Economic Restructuring Office of Zhejiang Province
浙江省经济贸易委员会	Economic and Trade Commission of Zhejiang Province
浙江省统计局	Statistics Bureau of Zhejiang Province
浙江省药品监督管理局	Drug Administration of Zhejiang Province
浙江省计划生育委员会	Family Planning Commission of Zhejiang Province
浙江省财政厅	Department of Finance of Zhejiang Province
浙江省质量技术监督局	Quality and Technology Supervision of Zhejiang Province
浙江省通讯管理局	TeleCommunication Administration of Zhejiang Province
浙江省邮政局	Post Bureau of Zhejiang Province
浦东发展银行	Pudong Development Bank
浦东陆家嘴	Pudong Lujiazui
浦发银行卡	Shanghai Pudong Development Bank card
浩如烟海	Multitude
浩气凛然	Awe-inspiring noble spirit
浩气长存	Imperishable noble spirit
浩浩汤汤	Vast and mighty
浩浩荡荡	Go forward with great strength and vigour
浩然之气	The natural greatness of a soul -- magnanimous
浩然正气	Awe-inspiring noble spirit
浪子回头	Return of the prodigal son
浪客剑心	Rurouni Kenshin
浪涌保护器	Surge protective device
浪漫主义	Romanticism
浪漫卷发	Romantic curls
浪漫庄园	Romantic Castle Online
浪漫海景	Romantic seascape
浪漫的老鼠	The Tale of Despereaux
浪费时间	Waste time
浪费金钱	Waste of money
浪迹天下	Rove all over the world
浪迹天涯	Rove all over the world
浪迹江湖	Wander about
浪迹浮踪	Drift about without any definite trace like running water or duckweed
浪迹萍踪	Drift about without any definite trace like running water or duckweed
浮一大白	Have a tall drink
浮云富贵	Look down money and powerful status
浮云朝露	Time is fleeting, life is short
浮云游子意 落日故人情	The floating clouds go with traveling people, the sunset raises the memory of old friends
浮云蔽日	The sun screened off by floating clouds
浮光掠影	Skimming over the surface
浮光跃金	Glistening
浮出水面	Surface
浮动工具栏	A floating toolbar
浮动汇率	Floating rate
浮动油封	Floating seal
浮动螺母	Floating nut
浮名薄利	Look down fame and gain
浮名虚利	despise reputation
浮名虚誉	Nominal
浮头滑脑	Crafty person
浮家泛宅	A floating family and a drifting abode
浮尘天气	Floating dust weather
浮想联翩	Thoughts thronged one's mind
浮文巧语	Flowery and bombastic style of writing
浮法玻璃	Float glass
浮瓜沈李	The life of the summer
浮瓜沉李	The life of the summer
浮生若梦	Man's life is like a dream
浮皮潦草	Cursory
浮翠流丹	Bright colors
浮而不实	Giddy and insincere
浮花浪蕊	Frivolous person
浮语虚辞	Brag
浮踪浪迹	Be a restless fellow like a drifting water plant
浮雕壁画	Relief fresco
浮雕玻璃	Embossed glass
浴室家具	Bathroom furniture
浴室拖鞋	Bath slippers
浴室挂件	Bathroom pendant
浴室效果图	Bathroom renderings
浴室柜盆	Bathroom cabinet basin
浴缸水龙头	Bathtub faucet
浴缸龙头	Bathtub faucet
浴血奋战	Fight a bloody battle
海上事故	Accident at sea
海上升明月 天涯共此时	The bright moon is rising above the sea, everyone faraway enjoy the same moment
海上战争	Naval Warfare
海上救援	Sea rescue
海上生明月天涯共此时	The bright moon is rising above the sea, everyone faraway enjoy the same moment
海上花列传	Lives of Shanghai Singsong Girls
海上贸易者大班复兴	Sea Trader: Rise of Taipan
海上运输	Sea transport
海上遇险信号	Marine distress signals
海不扬波	Dead calm
